Timestamp,KhoangCach(m),GocLech(do),CenterX,CenterY,BoxX1,BoxY1,BoxX2,BoxY2,Confidence
2026-06-18 14:37:44.913,0.123,-19.98,160.5,169.0,111,31,210,307,0.889
2026-06-18 14:37:45.247,0.233,-15.75,171.0,162.5,128,25,214,300,0.809
2026-06-18 14:37:45.586,0.453,-9.31,187.0,161.5,136,36,238,287,0.999
2026-06-18 14:37:45.921,0.472,-0.85,208.0,162.0,161,23,255,301,0.969
2026-06-18 14:37:46.228,0.293,2.77,217.0,166.5,172,26,262,307,0.906
2026-06-18 14:37:46.606,0.635,2.97,217.5,163.0,173,19,262,307,0.883
2026-06-18 14:37:46.934,0.521,2.97,217.5,159.5,173,13,262,306,0.771
2026-06-18 14:37:47.301,0.489,-0.25,209.5,155.0,166,17,253,293,0.897
2026-06-18 14:37:47.638,0.661,1.56,214.0,161.0,164,20,264,302,0.988
2026-06-18 14:37:47.956,0.644,6.60,226.5,165.0,165,25,288,305,0.995
2026-06-18 14:37:48.330,0.581,14.45,246.0,165.0,183,41,309,289,0.865
2026-06-18 14:37:48.682,0.582,12.23,240.5,182.5,208,61,273,304,0.988
2026-06-18 14:37:48.999,0.717,7.00,227.5,179.5,191,59,264,300,0.951
2026-06-18 14:37:49.358,0.681,2.17,215.5,178.5,171,53,260,304,0.964
2026-06-18 14:37:49.701,0.611,3.17,218.0,172.5,166,44,270,301,0.985
2026-06-18 14:37:50.034,0.625,5.39,223.5,171.5,172,43,275,300,0.987
2026-06-18 14:37:50.399,0.650,5.39,223.5,182.5,177,59,270,306,0.980
2026-06-18 14:37:50.734,0.777,4.38,221.0,186.5,178,70,264,303,0.984
2026-06-18 14:37:51.080,0.973,1.36,213.5,177.5,176,82,251,273,0.805
2026-06-18 14:37:51.416,1.138,2.77,217.0,172.5,182,82,252,263,0.470
2026-06-18 14:37:51.763,1.170,3.78,219.5,174.0,187,84,252,264,0.778
2026-06-18 14:37:52.097,1.205,3.38,218.5,174.5,187,91,250,258,0.565
2026-06-18 14:37:52.429,0.670,2.97,217.5,172.5,187,89,248,256,0.690
2026-06-18 14:37:52.757,1.294,4.18,220.5,174.0,190,90,251,258,0.482
2026-06-18 14:37:53.130,1.374,3.38,218.5,173.5,190,95,247,252,0.883
2026-06-18 14:37:53.460,1.237,2.17,215.5,172.0,189,93,242,251,0.966
2026-06-18 14:37:53.788,1.369,3.38,218.5,174.0,192,93,245,255,0.902
2026-06-18 14:37:54.150,0.885,2.97,217.5,175.0,191,102,244,248,0.936
2026-06-18 14:37:54.493,1.422,2.57,216.5,177.0,193,108,240,246,0.984
2026-06-18 14:37:54.838,1.466,2.77,217.0,177.5,194,109,240,246,0.982
2026-06-18 14:37:55.182,1.485,3.78,219.5,178.5,197,111,242,246,0.946
2026-06-18 14:37:55.522,1.487,3.17,218.0,180.5,197,117,239,244,0.925
2026-06-18 14:37:55.860,1.484,3.17,218.0,179.5,199,118,237,241,0.924
2026-06-18 14:37:56.215,1.679,3.98,220.0,179.5,201,120,239,239,0.860
2026-06-18 14:37:56.558,1.945,3.58,219.0,179.0,203,121,235,237,0.772
2026-06-18 14:37:56.873,1.679,2.17,215.5,178.5,199,120,232,237,0.929
2026-06-18 14:37:58.250,1.529,-2.26,204.5,180.0,183,127,226,233,0.508
2026-06-18 14:37:58.597,1.793,-4.27,199.5,179.5,178,127,221,232,0.688
2026-06-18 14:37:58.940,1.632,-4.68,198.5,180.0,175,127,222,233,0.682
2026-06-18 14:37:59.282,1.920,-4.48,199.0,178.5,175,124,223,233,0.798
2026-06-18 14:37:59.635,1.722,-3.27,202.0,178.0,176,120,228,236,0.815
2026-06-18 14:37:59.987,0.760,-5.08,197.5,176.5,173,112,222,241,0.958
2026-06-18 14:38:00.328,0.620,-6.09,195.0,177.5,172,113,218,242,0.984
2026-06-18 14:38:00.665,0.531,-6.09,195.0,176.0,171,110,219,242,0.985
2026-06-18 14:38:01.000,1.433,-6.49,194.0,176.0,170,107,218,245,0.991
2026-06-18 14:38:01.347,0.289,-8.30,189.5,176.5,166,104,213,249,0.983
2026-06-18 14:38:01.682,1.357,-9.71,186.0,176.5,162,103,210,250,0.903
2026-06-18 14:38:02.029,0.298,-8.30,189.5,172.5,162,98,217,247,0.964
2026-06-18 14:38:02.365,0.657,-8.70,188.5,171.0,161,91,216,251,0.963
2026-06-18 14:38:02.681,1.384,-10.72,183.5,170.5,157,85,210,256,0.631
2026-06-18 14:38:03.726,0.958,-13.74,176.0,170.0,138,64,214,276,0.892
2026-06-18 14:38:04.048,0.900,-15.15,172.5,163.0,132,46,213,280,0.639
2026-06-18 14:38:04.415,0.685,-19.17,162.5,165.0,117,39,208,291,0.990
2026-06-18 14:38:04.767,0.092,-21.79,156.0,168.0,112,27,200,309,0.988
2026-06-18 14:38:05.115,0.097,-22.59,154.0,169.0,107,30,201,308,0.984
2026-06-18 14:38:05.437,0.451,-22.39,154.5,170.5,109,34,200,307,0.993
2026-06-18 14:38:05.805,0.091,-22.80,153.5,169.0,106,30,201,308,0.987
2026-06-18 14:38:06.136,0.394,-20.38,159.5,161.5,111,32,208,291,0.979
2026-06-18 14:38:06.484,0.758,-10.31,184.5,171.5,127,45,242,298,0.994
2026-06-18 14:38:06.831,0.678,-0.45,209.0,166.0,154,47,264,285,0.939
2026-06-18 14:38:07.165,0.669,3.78,219.5,174.0,174,45,265,303,0.989
2026-06-18 14:38:07.495,0.700,3.38,218.5,173.5,172,45,265,302,0.994
2026-06-18 14:38:07.831,0.715,2.97,217.5,174.0,172,44,263,304,0.982
2026-06-18 14:38:08.170,0.739,2.57,216.5,171.5,173,40,260,303,0.950
2026-06-18 14:38:08.514,0.712,1.56,214.0,173.5,168,46,260,301,0.990
2026-06-18 14:38:08.835,0.707,2.57,216.5,175.0,168,47,265,303,0.998
2026-06-18 14:38:09.190,0.873,-0.25,209.5,170.0,161,51,258,289,0.975
2026-06-18 14:38:09.537,0.945,-3.47,201.5,173.5,156,60,247,287,0.998
2026-06-18 14:38:09.867,1.004,-6.89,193.0,173.0,156,72,230,274,0.995
2026-06-18 14:38:10.219,1.353,-7.90,190.5,181.0,156,89,225,273,0.896
2026-06-18 14:38:10.562,0.284,-9.51,186.5,176.0,154,94,219,258,0.709
2026-06-18 14:38:10.899,0.599,-10.11,185.0,171.5,157,93,213,250,0.898
2026-06-18 14:38:11.247,0.227,-9.71,186.0,171.5,159,96,213,247,0.974
2026-06-18 14:38:11.565,1.441,-11.32,182.0,172.5,157,96,207,249,0.866
2026-06-18 14:38:11.925,0.332,-12.33,179.5,176.0,157,101,202,251,0.821
2026-06-18 14:38:12.256,0.333,-11.52,181.5,176.5,160,106,203,247,0.952
2026-06-18 14:38:12.622,0.589,-12.53,179.0,176.5,159,107,199,246,0.931
2026-06-18 14:38:12.958,1.642,-13.13,177.5,177.0,157,110,198,244,0.921
2026-06-18 14:38:13.309,1.545,-12.73,178.5,179.0,160,116,197,242,0.864
2026-06-18 14:38:13.649,1.598,-11.32,182.0,176.0,162,113,202,239,0.776
2026-06-18 14:38:14.003,1.491,-12.33,179.5,179.0,160,118,199,240,0.891
2026-06-18 14:38:14.367,1.574,-11.92,180.5,176.5,160,116,201,237,0.914
2026-06-18 14:38:14.686,1.407,-9.11,187.5,177.5,164,121,211,234,0.978
2026-06-18 14:38:15.037,1.545,-5.08,197.5,178.0,173,118,222,238,0.934
2026-06-18 14:38:15.374,1.528,-5.08,197.5,179.5,172,120,223,239,0.947
2026-06-18 14:38:15.725,1.435,-3.47,201.5,177.5,173,121,230,234,0.862
2026-06-18 14:38:16.075,1.440,1.76,214.5,179.5,191,123,238,236,0.981
2026-06-18 14:38:16.429,1.807,3.58,219.0,179.5,199,119,239,240,0.964
2026-06-18 14:38:16.774,1.462,5.19,223.0,179.5,202,121,244,238,0.960
2026-06-18 14:38:17.108,1.565,6.39,226.0,178.5,206,119,246,238,0.926
2026-06-18 14:38:17.427,1.528,5.79,224.5,177.5,204,119,245,236,0.887
2026-06-18 14:38:17.781,1.607,5.19,223.0,175.5,202,113,244,238,0.930
2026-06-18 14:38:18.103,1.666,3.58,219.0,175.0,196,108,242,242,0.972
2026-06-18 14:38:18.461,1.486,1.97,215.0,176.5,192,109,238,244,0.987
2026-06-18 14:38:18.807,0.804,-1.46,206.5,173.5,180,105,233,242,0.985
2026-06-18 14:38:19.138,1.399,-3.27,202.0,177.0,176,105,228,249,0.581
2026-06-18 14:38:19.483,0.303,-6.29,194.5,174.0,167,97,222,251,0.926
2026-06-18 14:38:19.829,1.367,-10.52,184.0,171.0,155,91,213,251,0.772
2026-06-18 14:38:20.166,1.450,-16.35,169.5,178.0,139,99,200,257,0.756
2026-06-18 14:38:20.497,1.228,-19.78,161.0,170.0,132,65,190,275,0.905
2026-06-18 14:38:20.845,0.948,-25.61,146.5,171.5,110,64,183,279,0.837
2026-06-18 14:38:21.185,0.788,-29.44,137.0,170.5,99,61,175,280,0.992
2026-06-18 14:38:21.499,0.740,-32.26,130.0,170.0,90,59,170,281,0.956
2026-06-18 14:38:21.859,0.696,-31.85,131.0,169.0,89,58,173,280,0.951
2026-06-18 14:38:22.211,0.583,-29.84,136.0,168.0,88,54,184,282,0.990
2026-06-18 14:38:22.557,0.508,-23.40,152.0,161.0,104,38,200,284,0.998
2026-06-18 14:38:22.913,0.698,-19.57,161.5,164.0,123,37,200,291,0.983
2026-06-18 14:38:23.247,0.716,-15.35,172.0,157.0,122,38,222,276,0.953
2026-06-18 14:38:23.584,0.404,-7.70,191.0,161.5,139,39,243,284,0.996
2026-06-18 14:38:23.931,0.717,-1.66,206.0,175.0,164,48,248,302,0.996
2026-06-18 14:38:24.262,0.747,-3.47,201.5,176.5,158,50,245,303,0.999
2026-06-18 14:38:24.598,0.763,-3.27,202.0,177.5,160,53,244,302,0.998
2026-06-18 14:38:24.940,0.738,-2.66,203.5,176.0,161,50,246,302,0.999
2026-06-18 14:38:25.290,0.708,-2.87,203.0,171.5,160,39,246,304,0.996
2026-06-18 14:38:25.647,0.618,-5.28,197.0,170.5,149,37,245,304,0.999
2026-06-18 14:38:25.984,0.577,-6.89,193.0,166.5,142,28,244,305,0.984
2026-06-18 14:38:26.326,0.611,-8.30,189.5,167.0,135,31,244,303,0.975
2026-06-18 14:38:26.640,0.312,-8.30,189.5,167.5,138,39,241,296,0.898
2026-06-18 14:38:27.012,0.387,-8.10,190.0,167.0,139,37,241,297,0.898
2026-06-18 14:38:27.336,0.221,-8.10,190.0,165.0,137,30,243,300,0.993
2026-06-18 14:38:27.676,0.240,-5.89,195.5,163.5,149,26,242,301,0.999
2026-06-18 14:38:28.006,0.345,-5.89,195.5,162.5,147,21,244,304,0.998
2026-06-18 14:38:28.384,0.251,-9.11,187.5,162.0,134,25,241,299,0.997
2026-06-18 14:38:28.721,0.052,-12.93,178.0,167.0,120,31,236,303,0.820
2026-06-18 14:38:29.042,0.043,-13.13,177.5,165.0,121,26,234,304,0.672
2026-06-18 14:38:29.399,0.050,-14.14,175.0,161.0,117,30,233,292,0.526
2026-06-18 14:38:29.730,0.046,-13.33,177.0,164.5,122,26,232,303,0.550
2026-06-18 14:38:30.095,0.044,-13.13,177.5,164.0,122,24,233,304,0.612
